in_n,in_m,in_alpha,in_relax,in_tol,in_its,out_its,out_tmpi,out_tclock,out_res,out_err,out_np,out_opt
840,840,0.8,1,1e-13,50,50,0.799238,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.798880,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.799185,0.797,5.40181e-09,0.000633904,1,0
840,840,0.8,1,1e-13,50,50,0.477342,0.476,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.475667,0.474,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.475736,0.474,5.40181e-09,0.000633904,1,1
840,840,0.8,1,1e-13,50,50,0.470300,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.470376,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.470592,0.469,5.40181e-09,0.000633904,1,1x
840,840,0.8,1,1e-13,50,50,0.478493,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.478599,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.478578,0.477,5.40181e-09,0.000633904,1,2
840,840,0.8,1,1e-13,50,50,0.469976,0.468,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.470459,0.469,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.470083,0.468,5.40181e-09,0.000633904,1,2x
840,840,0.8,1,1e-13,50,50,0.464079,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.463928,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.463826,0.462,5.40181e-09,0.000633904,1,3
840,840,0.8,1,1e-13,50,50,0.455258,0.454,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.454393,0.453,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.454672,0.453,5.40181e-09,0.000633904,1,3x
840,840,0.8,1,1e-13,50,50,0.807643,0.804,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.802117,0.799,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.802642,0.800,5.40181e-09,0.000633904,2,0
840,840,0.8,1,1e-13,50,50,0.482931,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.483604,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.483394,0.481,5.40181e-09,0.000633904,2,1
840,840,0.8,1,1e-13,50,50,0.476724,0.474,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.476344,0.474,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.475644,0.473,5.40181e-09,0.000633904,2,1x
840,840,0.8,1,1e-13,50,50,0.483787,0.482,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.483946,0.482,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.486301,0.484,5.40181e-09,0.000633904,2,2
840,840,0.8,1,1e-13,50,50,0.478222,0.476,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.475431,0.473,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.477288,0.475,5.40181e-09,0.000633904,2,2x
840,840,0.8,1,1e-13,50,50,0.494935,0.492,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.494071,0.491,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.493335,0.491,5.40181e-09,0.000633904,2,3
840,840,0.8,1,1e-13,50,50,0.484605,0.482,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.482364,0.480,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.483077,0.480,5.40181e-09,0.000633904,2,3x
840,840,0.8,1,1e-13,50,50,0.802170,0.795,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.802477,0.799,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.801661,0.798,5.40181e-09,0.000633904,3,0
840,840,0.8,1,1e-13,50,50,0.481133,0.479,5.40181e-09,0.000633904,3,1
840,840,0.8,1,1e-13,50,50,0.485407,0.483,5.40181e-09,0.000633904,3,1
840,840,0.8,1,1e-13,50,50,0.483930,0.482,5.40181e-09,0.000633904,3,1
840,840,0.8,1,1e-13,50,50,0.475626,0.474,5.40181e-09,0.000633904,3,1x
840,840,0.8,1,1e-13,50,50,0.475323,0.473,5.40181e-09,0.000633904,3,1x
840,840,0.8,1,1e-13,50,50,0.479137,0.474,5.40181e-09,0.000633904,3,1x
840,840,0.8,1,1e-13,50,50,0.485472,0.483,5.40181e-09,0.000633904,3,2
840,840,0.8,1,1e-13,50,50,0.487832,0.485,5.40181e-09,0.000633904,3,2
840,840,0.8,1,1e-13,50,50,0.486071,0.484,5.40181e-09,0.000633904,3,2
840,840,0.8,1,1e-13,50,50,0.479570,0.476,5.40181e-09,0.000633904,3,2x
840,840,0.8,1,1e-13,50,50,0.473762,0.471,5.40181e-09,0.000633904,3,2x
840,840,0.8,1,1e-13,50,50,0.479133,0.475,5.40181e-09,0.000633904,3,2x
840,840,0.8,1,1e-13,50,50,0.543496,0.541,5.40181e-09,0.000633904,3,3
840,840,0.8,1,1e-13,50,50,0.545601,0.541,5.40181e-09,0.000633904,3,3
840,840,0.8,1,1e-13,50,50,0.544328,0.540,5.40181e-09,0.000633904,3,3
840,840,0.8,1,1e-13,50,50,0.464821,0.462,5.40181e-09,0.000633904,3,3x
840,840,0.8,1,1e-13,50,50,0.544797,0.542,5.40181e-09,0.000633904,3,3x
840,840,0.8,1,1e-13,50,50,0.545006,0.543,5.40181e-09,0.000633904,3,3x
840,840,0.8,1,1e-13,50,50,0.802406,0.799,5.40181e-09,0.000633904,4,0
840,840,0.8,1,1e-13,50,50,0.802650,0.797,5.40181e-09,0.000633904,4,0
840,840,0.8,1,1e-13,50,50,0.803441,0.800,5.40181e-09,0.000633904,4,0
840,840,0.8,1,1e-13,50,50,0.488042,0.482,5.40181e-09,0.000633904,4,1
840,840,0.8,1,1e-13,50,50,0.487361,0.485,5.40181e-09,0.000633904,4,1
840,840,0.8,1,1e-13,50,50,0.486459,0.483,5.40181e-09,0.000633904,4,1
840,840,0.8,1,1e-13,50,50,0.482828,0.479,5.40181e-09,0.000633904,4,1x
840,840,0.8,1,1e-13,50,50,0.482746,0.481,5.40181e-09,0.000633904,4,1x
840,840,0.8,1,1e-13,50,50,0.482322,0.479,5.40181e-09,0.000633904,4,1x
840,840,0.8,1,1e-13,50,50,0.490177,0.486,5.40181e-09,0.000633904,4,2
840,840,0.8,1,1e-13,50,50,0.491222,0.488,5.40181e-09,0.000633904,4,2
840,840,0.8,1,1e-13,50,50,0.491427,0.487,5.40181e-09,0.000633904,4,2
840,840,0.8,1,1e-13,50,50,0.482235,0.480,5.40181e-09,0.000633904,4,2x
840,840,0.8,1,1e-13,50,50,0.481946,0.480,5.40181e-09,0.000633904,4,2x
840,840,0.8,1,1e-13,50,50,0.482674,0.477,5.40181e-09,0.000633904,4,2x
840,840,0.8,1,1e-13,50,50,0.618389,0.615,5.40181e-09,0.000633904,4,3
840,840,0.8,1,1e-13,50,50,0.614572,0.610,5.40181e-09,0.000633904,4,3
840,840,0.8,1,1e-13,50,50,0.618984,0.615,5.40181e-09,0.000633904,4,3
840,840,0.8,1,1e-13,50,50,0.617349,0.615,5.40181e-09,0.000633904,4,3x
840,840,0.8,1,1e-13,50,50,0.618304,0.615,5.40181e-09,0.000633904,4,3x
840,840,0.8,1,1e-13,50,50,0.616886,0.613,5.40181e-09,0.000633904,4,3x
840,840,0.8,1,1e-13,50,50,0.805272,0.801,5.40181e-09,0.000633904,5,0
840,840,0.8,1,1e-13,50,50,0.805519,0.799,5.40181e-09,0.000633904,5,0
840,840,0.8,1,1e-13,50,50,0.805127,0.798,5.40181e-09,0.000633904,5,0
840,840,0.8,1,1e-13,50,50,0.496531,0.493,5.40181e-09,0.000633904,5,1
840,840,0.8,1,1e-13,50,50,0.497477,0.495,5.40181e-09,0.000633904,5,1
840,840,0.8,1,1e-13,50,50,0.498063,0.494,5.40181e-09,0.000633904,5,1
840,840,0.8,1,1e-13,50,50,0.490940,0.488,5.40181e-09,0.000633904,5,1x
840,840,0.8,1,1e-13,50,50,0.651175,0.646,5.40181e-09,0.000633904,5,1x
840,840,0.8,1,1e-13,50,50,0.485759,0.484,5.40181e-09,0.000633904,5,1x
840,840,0.8,1,1e-13,50,50,0.500166,0.494,5.40181e-09,0.000633904,5,2
840,840,0.8,1,1e-13,50,50,0.501303,0.498,5.40181e-09,0.000633904,5,2
840,840,0.8,1,1e-13,50,50,0.500913,0.497,5.40181e-09,0.000633904,5,2
840,840,0.8,1,1e-13,50,50,0.495206,0.490,5.40181e-09,0.000633904,5,2x
840,840,0.8,1,1e-13,50,50,0.485672,0.482,5.40181e-09,0.000633904,5,2x
840,840,0.8,1,1e-13,50,50,0.485977,0.484,5.40181e-09,0.000633904,5,2x
840,840,0.8,1,1e-13,50,50,0.865153,0.861,5.40181e-09,0.000633904,5,3
840,840,0.8,1,1e-13,50,50,0.616711,0.613,5.40181e-09,0.000633904,5,3
840,840,0.8,1,1e-13,50,50,0.623731,0.619,5.40181e-09,0.000633904,5,3
840,840,0.8,1,1e-13,50,50,0.866193,0.859,5.40181e-09,0.000633904,5,3x
840,840,0.8,1,1e-13,50,50,0.618935,0.614,5.40181e-09,0.000633904,5,3x
840,840,0.8,1,1e-13,50,50,0.624531,0.620,5.40181e-09,0.000633904,5,3x
840,840,0.8,1,1e-13,50,50,0.806367,0.796,5.40181e-09,0.000633904,6,0
840,840,0.8,1,1e-13,50,50,0.809037,0.802,5.40181e-09,0.000633904,6,0
840,840,0.8,1,1e-13,50,50,0.808185,0.803,5.40181e-09,0.000633904,6,0
840,840,0.8,1,1e-13,50,50,0.677083,0.670,5.40181e-09,0.000633904,6,1
840,840,0.8,1,1e-13,50,50,0.489559,0.485,5.40181e-09,0.000633904,6,1
840,840,0.8,1,1e-13,50,50,0.672712,0.664,5.40181e-09,0.000633904,6,1
840,840,0.8,1,1e-13,50,50,0.677622,0.671,5.40181e-09,0.000633904,6,1x
840,840,0.8,1,1e-13,50,50,0.745917,0.741,5.40181e-09,0.000633904,6,1x
840,840,0.8,1,1e-13,50,50,0.484932,0.483,5.40181e-09,0.000633904,6,1x
840,840,0.8,1,1e-13,50,50,0.502027,0.498,5.40181e-09,0.000633904,6,2
840,840,0.8,1,1e-13,50,50,0.728059,0.723,5.40181e-09,0.000633904,6,2
840,840,0.8,1,1e-13,50,50,0.683223,0.676,5.40181e-09,0.000633904,6,2
840,840,0.8,1,1e-13,50,50,0.498158,0.495,5.40181e-09,0.000633904,6,2x
840,840,0.8,1,1e-13,50,50,0.669851,0.663,5.40181e-09,0.000633904,6,2x
840,840,0.8,1,1e-13,50,50,0.674717,0.666,5.40181e-09,0.000633904,6,2x
840,840,0.8,1,1e-13,50,50,0.928241,0.918,5.40181e-09,0.000633904,6,3
840,840,0.8,1,1e-13,50,50,0.628796,0.616,5.40181e-09,0.000633904,6,3
840,840,0.8,1,1e-13,50,50,0.628354,0.624,5.40181e-09,0.000633904,6,3
840,840,0.8,1,1e-13,50,50,0.620232,0.609,5.40181e-09,0.000633904,6,3x
840,840,0.8,1,1e-13,50,50,0.625546,0.621,5.40181e-09,0.000633904,6,3x
840,840,0.8,1,1e-13,50,50,0.866718,0.863,5.40181e-09,0.000633904,6,3x
840,840,0.8,1,1e-13,50,50,0.821716,0.815,5.40181e-09,0.000633904,7,0
840,840,0.8,1,1e-13,50,50,0.808467,0.796,5.40181e-09,0.000633904,7,0
840,840,0.8,1,1e-13,50,50,0.822718,0.816,5.40181e-09,0.000633904,7,0
840,840,0.8,1,1e-13,50,50,0.789428,0.784,5.40181e-09,0.000633904,7,1
840,840,0.8,1,1e-13,50,50,0.667782,0.663,5.40181e-09,0.000633904,7,1
840,840,0.8,1,1e-13,50,50,0.509811,0.507,5.40181e-09,0.000633904,7,1
840,840,0.8,1,1e-13,50,50,0.495185,0.493,5.40181e-09,0.000633904,7,1x
840,840,0.8,1,1e-13,50,50,0.805247,0.799,5.40181e-09,0.000633904,7,1x
840,840,0.8,1,1e-13,50,50,0.665994,0.658,5.40181e-09,0.000633904,7,1x
840,840,0.8,1,1e-13,50,50,0.794018,0.778,5.40181e-09,0.000633904,7,2
840,840,0.8,1,1e-13,50,50,0.686229,0.682,5.40181e-09,0.000633904,7,2
840,840,0.8,1,1e-13,50,50,0.719779,0.714,5.40181e-09,0.000633904,7,2
840,840,0.8,1,1e-13,50,50,0.731365,0.721,5.40181e-09,0.000633904,7,2x
840,840,0.8,1,1e-13,50,50,0.806836,0.803,5.40181e-09,0.000633904,7,2x
840,840,0.8,1,1e-13,50,50,0.781964,0.778,5.40181e-09,0.000633904,7,2x
840,840,0.8,1,1e-13,50,50,1.106117,1.100,5.40181e-09,0.000633904,7,3
840,840,0.8,1,1e-13,50,50,0.920970,0.912,5.40181e-09,0.000633904,7,3
840,840,0.8,1,1e-13,50,50,0.920262,0.911,5.40181e-09,0.000633904,7,3
840,840,0.8,1,1e-13,50,50,0.623022,0.616,5.40181e-09,0.000633904,7,3x
840,840,0.8,1,1e-13,50,50,0.627077,0.622,5.40181e-09,0.000633904,7,3x
840,840,0.8,1,1e-13,50,50,0.948145,0.943,5.40181e-09,0.000633904,7,3x
840,840,0.8,1,1e-13,50,50,0.882486,0.864,5.40181e-09,0.000633904,8,0
840,840,0.8,1,1e-13,50,50,0.871698,0.865,5.40181e-09,0.000633904,8,0
840,840,0.8,1,1e-13,50,50,0.875661,0.862,5.40181e-09,0.000633904,8,0
840,840,0.8,1,1e-13,50,50,0.863932,0.849,5.40181e-09,0.000633904,8,1
840,840,0.8,1,1e-13,50,50,0.864333,0.849,5.40181e-09,0.000633904,8,1
840,840,0.8,1,1e-13,50,50,0.864519,0.859,5.40181e-09,0.000633904,8,1
840,840,0.8,1,1e-13,50,50,0.865423,0.854,5.40181e-09,0.000633904,8,1x
840,840,0.8,1,1e-13,50,50,0.868162,0.864,5.40181e-09,0.000633904,8,1x
840,840,0.8,1,1e-13,50,50,0.867730,0.864,5.40181e-09,0.000633904,8,1x
840,840,0.8,1,1e-13,50,50,0.868137,0.864,5.40181e-09,0.000633904,8,2
840,840,0.8,1,1e-13,50,50,0.861368,0.857,5.40181e-09,0.000633904,8,2
840,840,0.8,1,1e-13,50,50,0.867241,0.861,5.40181e-09,0.000633904,8,2
840,840,0.8,1,1e-13,50,50,0.867373,0.861,5.40181e-09,0.000633904,8,2x
840,840,0.8,1,1e-13,50,50,0.863879,0.855,5.40181e-09,0.000633904,8,2x
840,840,0.8,1,1e-13,50,50,0.865534,0.857,5.40181e-09,0.000633904,8,2x
840,840,0.8,1,1e-13,50,50,1.228209,1.219,5.40181e-09,0.000633904,8,3
840,840,0.8,1,1e-13,50,50,1.236264,1.222,5.40181e-09,0.000633904,8,3
840,840,0.8,1,1e-13,50,50,1.233334,1.223,5.40181e-09,0.000633904,8,3
840,840,0.8,1,1e-13,50,50,1.232772,1.224,5.40181e-09,0.000633904,8,3x
840,840,0.8,1,1e-13,50,50,1.229572,1.220,5.40181e-09,0.000633904,8,3x
840,840,0.8,1,1e-13,50,50,1.230665,1.223,5.40181e-09,0.000633904,8,3x
